DNA origin	Platform	Data Use	n (Prop.Female)	Median Age(range)	Citation	Availability	Cor(Age,m.age(Train.CpGs))	Median error (Age, m.age(Train.CpGs))	Median AgeAcceleration(Train.CpGs)	Cor LOOCV	Error LOOCV
MSC (bonemarrow)	27K	Training	16 (0.38)	52 (21,85)	Bork 2010	GSE17448	0.95	5.2	0	0.8 (0.00019)	12.4
Blood WB	27K	Test	262 (1)	67 (49,91)	Song 2010	GSE19711	0.63	5.1	-3.6	0.64 (0)	4.7
Blood WB	27K	Test	269 (1)	64 (52,78)	Teschendorff 2010  Song 2009	GSE19711	0.66	3.9	-2.6	0.68 (0)	3.6
Blood WB	27K	Test	191 (0.51)	43 (24,74)	Teschendorff 2010	GSE20067	0.81	3.5	0.5	0.84 (0)	3.4
Blood WB	27K	Test	93 (1)	63 (49,74)	Rakyan 2010	GSE20236	0.69	8.1	-7.7	0.7 (3.6e-15)	5.5
Buccal	27K	Training	8 (0.75)	43 (16,68)	Rakyan 2010	GSE20242	0.94	3.5	-0.7	0.93 (0.00073)	5.9
Blood CD4+CD14	27K	Test	50 (0.68)	34 (16,69)	Rakyan 2010	GSE20242	0.9	3.7	-0.5	0.92 (0)	3.7
Dermal fibroblast	27K	Training	14 (1)	20 (6,73)	Koch 2011	GSE22595	0.92	12	3.6	0.88 (2.8e-05)	9
Buccal	27K	Training	109 (0.61)	15 (15,15)	Essex 2011	GSE25892	NA	1.5	-0.2	NA (NA)	4.9
Heart	27K	Test	6 (0)	60 (55,71)	Pai 2011	GSE26033	0.77	12.5	-13	0.83 (0.042)	15.5
Chimp+Human Tissues	27K	Other	35 (0.4)	47 (9,81)	Pai 2011	GSE26033   	0.41	11.3	8	NA	NA
Prostate NL	27K	Training	69 (0)	61 (44,73)	Kobayashi 2011	GSE26126	0.6	4.3	-1	0.44 (0.00013)	6.2
Sperm	27K	Other	19 (1)	0 (0,0)	Pacheco 2011   	GSE26974   	NA	26.8	27.3	NA	NA
Blood PBMC	27K	Test	386 (0)	9.3 (3.6,18)	Alisch 2012	GSE27097	0.7	1.7	1.5	0.74 (0)	1.6
Blood Cord	27K	Training	216 (0.51)	0 (0,0)	Adkins 2011	GSE27317	NA	0.1	0.1	NA (NA)	0.1
Saliva	27K	Training	69 (0)	35 (21,55)	Bockland 2011	GSE28746	0.93	2.7	1.2	0.92 (0)	3.4
HematopoieticStemAndNormalPrimaryTissue	27k	Other	34 (NA)	NA	Calvanese 2012	GSE30090	NA	NA	NA	NA	NA
hESC                                      	27k	Other	6 (NA)	NA	Ramos-Mejâ€°Ã›Âªa 2012	GSE30456	NA	NA	NA	NA	NA
Gastric	27K	Training	52	68 (25,88)	Zouridis 2012	GSE30601	0.83	5.3	-0.6	0.71 (7.1e-09)	6.2
Stem cells+Somatic Cells	27K	Other	271 (NA)	NA	Nazor 2012	GSE30653	NA	NA	NA	NA	NA
Uterine Cervix	27K	Test	152 (1)	25 (19,55)	Zhuang 2012	GSE30758	0.75	6.2	5.8	0.73 (0)	3.7
Blood PBMC	450K	Test	38 (0.74)	44 (0,100)	Heyn 2012	GSE30870	0.99	1	-5.3	0.99 (0)	0.8
Stem cells+Somatic Cells	450K	Other	153 (0.63)	NA	Nazor 2012	GSE31848	NA	NA	NA	NA	NA
Colon	450K	Training	24 (0.54)	14 (3.5,19)	Kellermayer 2013	GSE32146	0.6	2.9	3.6	0.67 (0.00035)	14
Blood PBMC	450K	Training	48 (0.52)	15 (3.5,76)	Harris et al 2012	GSE32149	0.96	2.4	-0.5	0.95 (0)	1.8
Breast NL	27K	Training	23 (1)	46 (19,75)	Zhuang 2012	GSE32393	0.73	8.9	2.3	0.71 (0.00013)	8.2
Saliva	27K	Training	131 (0.015)	29 (21,55)	Liu 2010	GSE34035	0.88	3.2	0.6	0.86 (0)	3.9
Saliva	27K	Test	52 (0.92)	27 (21,55)	Liu 2010	GSE34035	0.83	2.7	0.1	0.86 (2.2e-16)	2.9
Blood Cord	27K	Test	84 (0.52)	0 (0,0.75)	Khulan 2012	GSE34257	-0.04	0.2	1	-0.04 (0.69)	0.1
Blood CD4 Tcells	450K	Test	48 (NaN)	0.5 (0,1)	Martino 2012	GSE34639	0.78	0.3	0.4	0.87 (8.9e-16)	0.3
Blood Cell Types	450K	Other	60 (0)	NA	Reinius 2012	GSE35069	NA	NA	NA	NA	NA
Blood PBMC	450K	Training	72 (0)	3.1 (1,16)	Alisch 2012	GSE36064	0.96	0.5	0.3	0.96 (0)	0.8
Muscle	27K	Test	44 (0)	25 (25,25)	Jacobsen 2012	GSE36166	0	18.8	18.8	NA (NA)	24.1
Blood Cord	27K	Test	48 (0.021)	0 (0,0)	Turan	GSE36812	NA	0.6	2.3	NA (NA)	0.2
Blood PBMC	27K	Test	92 (NaN)	33 (24,45)	Lam 2012	GSE37008	0.73	2.9	-1.1	0.75 (0)	3.1
Reprogrammed mesenchymal stromal cells 	450K	Other	24 (NA)	NA	Shao 2012	GSE37066	NA	NA	NA	NA	NA
Liver 	27K	Training	57 (0.14)	51 (20,79)	Shen 2012	GSE37988	0.9	4.5	0.2	0.79 (1.9e-13)	8.3
Fat Adip	27K	Test	10 (0.4)	75 (73,78)	Ribel-Madsen 2012	GSE38291	0.65	2.7	-3.1	0.37 (0.29)	10.2
Muscle	27K	Test	22 (0.55)	66 (53,78)	Ribel-Madsen 2012	GSE38291	0.18	10.7	-13.6	0.09 (0.68)	27.6
Brain Cerebellar	27K	Test	20 (0)	22 (1,60)	Ginsberg 2012	GSE38608	0.92	5.9	5.3	0.9 (5.3e-08)	11
Brain Occipital Cortex	27K	Test	16 (0)	25 (1,60)	Ginsberg 2012	GSE38608	0.98	1.5	1.9	0.98 (5.5e-12)	1.5
Brain CRBLM	27k	Training	168	45 (20,70)	Liu 2013	GSE38873	0.81	3.7	1.4	0.68 (0)	6.3
Various Tissues	27K	Test	44 (0.41)	71 (0,83)	Myers 2012	GSE40700	0.93	9.3	-0.7	0.9 (1.1e-10)	11
Blood WB	27K	Training	715 (0.38)	33 (16,88)	Horvath 2012	GSE41037	0.96	2.8	-0.1	0.95 (0)	3.2
Blood WB	450K	Training	94 (0.28)	29 (18,65)	Horvath 2012	GSE41169	0.93	2.5	0.7	0.92 (0)	2.7
Ape WB	450k	Other	32 (0.62)	22 (9,43)	Hernando-Herraez 2013	GSE41782	0.41	6.8	0.2	NA	NA
BrainVariousCells	450K	Training	145 (0.48)	35 (13,79)	Guintivano 2013	GSE41826	0.94	3.1	0.1	0.83 (0)	5.3
Heart	27K	Training	17 (0.41)	55 (16,68)	Haas 2013                       	GSE42510	0.82	9.2	-5.4	0.62 (0.0074)	22.3
Buccal	450K	Training	53 (0.45)	0 (0,1.5)	Martino 2013     	GSE42700	0.88	0.2	0.2	0.82 (5.5e-14)	0.3
